,MOB,AOB,FRP,AON,ORBvl,ORBm,ORBl,TT,PL,ILA,AId,DP,AIv,MOs,ACB:Nucleus_accumbens,OT,MOp,CLA:Claustrum,ACAd,MS:Medial_septal_nucleus,NDB:Diagonal_band_nucleus,LSr:Lateral_septal_nucleus_rostral_(rostroventral)_part,GU,LSv:Lateral_septal_nucleus_ventral_part,SSp_m,SI:Substantia_innominata,ACAv,MEPO:Median_preoptic_nucleus,MPO:Medial_preoptic_area,BST,MA:Magnocellular_nucleus,FS:Fundus_of_striatum,LPO:Lateral_preoptic_area,CP:Caudoputamen,PVpo:Periventricular_hypothalamic_nucleus_preoptic_part,MPN,LSc:Lateral_septal_nucleus_caudal_(caudodorsal)_part,EPd:Endopiriform_nucleus_dorsal_part,PIR,SF:Septofimbrial_nucleus,TRS:Triangular_nucleus_of_septum,AAA:Anterior_amygdalar_area,SSp_ul,AD,PT:Parataenial_nucleus,SSp_n,SBPV:Subparaventricular_zone,NLOT,AHN,PVH,RCH:Retrochiasmatic_area,AIp,AV:Anteroventral_nucleus_of_thalamus,GPe:Globus_pallidus_external_segment,COAa,SSp_ll,RE:Nucleus_of_reuniens,SSs,PVT:Paraventricular_nucleus_of_the_thalamus,VISC,RT:Reticular_nucleus_of_the_thalamus,VAL:Ventral_anterior-lateral_complex_of_the_thalamus,IA:Intercalated_amygdalar_nucleus,GPi:Globus_pallidus_internal_segment,RH:Rhomboid_nucleus,LHA:Lateral_hypothalamic_area,CM:Central_medial_nucleus_of_the_thalamus,PAA,SMT:Submedial_nucleus_of_the_thalamus,EPv:Endopiriform_nucleus_ventral_part,LD:Lateral_dorsal_nucleus_of_thalamus,VMH,TU:Tuberal_nucleus,MEA,MD,VM:Ventral_medial_nucleus_of_the_thalamus,ARH:Arcuate_hypothalamic_nucleus,BMA,VPL,CL:Central_lateral_nucleus_of_the_thalamus,SSp_bfd,SSp_tr,IMD:Intermediodorsal_nucleus_of_the_thalamus,DMH,BLA,AUDd,COAp,PA:Posterior_amygdalar_nucleus,AUDv,APN:Anterior_pretectal_nucleus,AUDp,AMv:Anteromedial_nucleus_ventral_part,CA1,CEA,MH:Medial_habenula,SUM,AMd:Anteromedial_nucleus_dorsal_part,LH:Lateral_habenula,VPM,PO:Posterior_complex_of_the_thalamus,LA:Lateral_amygdalar_nucleus,STN:Subthalamic_nucleus,VPMpc:Ventral_posteromedial_nucleus_of_the_thalamus_parvicellular_part,PH:Posterior_hypothalamic_nucleus,SPFm:Subparafascicular_nucleus_magnocellular_part,SPA:Subparafascicular_area,PF:Parafascicular_nucleus,LP:Lateral_posterior_nucleus_of_the_thalamus,CA2,PVp:Periventricular_hypothalamic_nucleus_posterior_part,PMd:Dorsal_premammillary_nucleus,LGd,LGv,CA3,VISam,SPFp:Subparafascicular_nucleus_parvicellular_part,RSPv,NPC:Nucleus_of_the_posterior_commissure,ECT,MPT:Medial_pretectal_area,DG,MGm:Medial_geniculate_complex_medial_part,NOT:Nucleus_of_the_optic_tract,POL:Posterior_limiting_nucleus_of_the_thalamus,VTA:Ventral_tegmental_area,PERI,RSPd,SNc:Substantia_nigra_compact_part,RSPagl,TR,MGv:Medial_geniculate_complex_ventral_part,VISal,TEa,SNr:Substantia_nigra_reticular_part,ENTl,VISl,VISp,PRE,PAR,ENTm,Isocortex_VISa,Isocortex_VISrl,Isocortex_Primary_somatosensory_area_unassigned_layer_,Isocortex_VISli,Cerebellar_Cortex_Lingula_(I),CENT2:Lobule_II,CENT3:Lobule_III,"CUL4,_5:Lobules_IV-V",Cerebellar_Cortex_Declive_(VI),Cerebellar_Cortex_Folium-tuber_vermis_(VII),Cerebellar_Cortex_Pyramus_(VIII),Cerebellar_Cortex_Uvula_(IX),Cerebellar_Cortex_Nodulus_(X),Cerebellar_Cortex_Simple_lobule,ANcr1:Crus_1,ANcr2:Crus_2,Cerebellar_Cortex_Paramedian_lobule,Cerebellar_Cortex_Copula_pyramidis,Cerebellar_Cortex_Paraflocculus,Cerebellar_Cortex_Flocculus,Cerebellar_Nuclei_Fastigial_nucleus,Cerebellar_Nuclei_Interposed_nucleus,Cerebellar_Nuclei_Dentate_nucleus,VeCB:Vestibulocerebellar_nucleus,Medulla_,Pons_,Midbrain_
MOB,3.780830697688942,0.23150626757100656,0.0026534650877059604,0.04802778564883515,0.025613017839266346,0.0003455842934426372,0.01178031103739225,0.0014047369800841436,7.224838710005048e-05,0.0,0.0010636328757418364,7.572706092097809e-05,0.0002286004170768085,0.0024634759844629323,0.0007987924273524263,0.0,0.0,6.176686623448765e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030230448958014675,0.0,0.0,0.0,0.008810836619513568,0.0,0.0,0.0,0.0,0.0031978003550746444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043943091597033835,0.0,0.0,0.0,0.0,0.0,2.7658715282461437e-05,0.0004447745033519092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002908140983454791,0.0,0.0,0.0,0.0,0.0,0.003312701443461542,8.212510845407781e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010858783552782292,0.00011048235286149361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.109548730590074e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.255186966532529e-07,0.0,0.0,9.607498284581181e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AOB,0.31774473911349854,0.6586491290980983,0.002053351994557738,0.15214987120650092,0.13320382657475013,0.00018844826756580276,0.00899473910257306,0.0,0.0,0.0,0.0015186530630166464,0.0,0.000307533059814759,0.002878627524641194,0.00794010889292196,0.0,0.0,6.507933007637986e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029113732607380523,0.0,0.0,0.0,0.006245165397956168,0.0,0.0,0.0,0.0,0.017954804641058895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026202736410032663,0.0,0.0,0.0,0.0,0.0,4.2301564549646906e-05,0.002449827478355436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016018102743093235,0.0,0.0,0.0,0.0,0.0,0.023376651820846098,0.00012560310704741313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08619440790675498,0.0007417916669845628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.507933007637986e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRP,0.0002906715252894465,0.0002655915544181634,1.1206175884463967,9.691051433676265e-06,0.0037628419449014985,4.195731750852096e-05,0.24766286681245214,0.0,1.0321198157150068e-05,1.0062392873249875e-07,0.03379632782553152,1.811230717184977e-06,0.0013870086577680177,0.700426398527187,4.3457281580482614e-07,0.0,0.009922043051523444,9.924603325107294e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0062392873249875e-07,3.386362816219606e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.26944055711223236,0.0,0.0,0.0,0.0,8.854905728459889e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020290043529286794,0.0,0.0,5.031196436624937e-07,0.0,0.0,0.0,6.30912033152767e-05,5.56450325890718e-05,0.0,7.043675011274911e-07,1.6804196098327288e-05,8.452410013529894e-06,4.125581078032448e-05,0.0,0.00011501315054124605,0.0,0.0,0.0,0.0,0.0,0.0014372769459482582,0.00015425648274692059,0.0,0.0,0.0,1.1169256089307359e-05,0.0,0.0,2.1231648962557233e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5093589309874812e-06,0.0,0.0,0.0,0.0,1.0062392873249875e-07,1.1068632160574861e-06,0.0,1.7307315741989783e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.056153585924885e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0156498186557248e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.333068222822433e-06,0.0,0.0,8.251162156064897e-06,0.0,0.0,0.0,0.0,0.0,1.0903392617333478e-05,0.0,0.0,1.3724997549401686e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001909522854884675,8.231772599060443e-05
AON,0.5613813694266149,0.1711215737429883,2.058749632410253e-06,0.9217377452221094,0.0534713935626969,0.00214989262522153,0.0016029202951034168,0.09583066169994772,8.697824316066008e-05,0.0002519779334284989,0.0,0.02094606996782379,1.968164648584202e-05,8.503886550472486e-05,0.1524405657769265,0.010892725956130774,0.0,1.6469997059282024e-07,7.440900731663426e-05,0.0,0.003082283393677307,0.003314379323730169,0.0,0.00012734285894027835,0.0,0.017161773177212063,0.0,0.0,2.2545948795983706e-05,0.009013105955549331,0.00014881801463326853,0.0,0.0003985170420563915,0.001350602106738603,0.0,0.0,0.0,0.007874429954826446,0.06062910792289659,0.0,0.0,4.251943275236243e-05,0.0,0.0,0.0,0.0,0.0,0.004490151600331128,0.0,0.0,0.0,0.0,0.0,0.0,4.5190992319177945e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036127725781889705,0.0,2.9547956516385578e-05,0.0,0.0,0.0,0.0,4.251943275236243e-05,0.007891230243333689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037878383973315624,0.00019695823278161555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0938989119343495e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5865667671247796e-05,0.0,0.0,1.0855456827695859e-05,0.0,0.0,0.0,0.0,0.0,0.00011899250753435846,0.0,0.0,8.234998529641012e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.350351405919891e-07
ORBvl,0.027714385836070485,0.08510504816346827,0.008572500096085739,0.037058218579066333,3.2489190250387523,0.3679248148169604,0.8132802876550994,0.0,0.15414761065279275,0.00921280723262097,0.00011623505577741177,0.00033321243350244563,0.031553660003704284,0.02508472853105201,0.001738235641412434,0.0,0.0,0.0013435068416392708,0.004324225882797265,0.0,0.0,0.0,0.0,0.0,0.0,6.2009496081402345e-06,8.788932836265704e-05,0.0,0.0,3.696981918397527e-05,0.0,0.0,0.0,0.4473406585929326,0.0,0.0,0.0,0.0,0.011968966343099173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011262747200172774,0.0,0.0,0.0,0.0,0.0,0.0010992097859748005,0.0011678303804587564,0.0,0.0010966567750212135,0.0,0.0,0.0,0.018370995634507222,0.004862798230784933,0.0,0.00038136087578622454,0.004120004143521983,0.004022624152682044,0.002974307339080512,0.0007635814026076483,0.06651588863183595,0.0,0.0,0.0,0.0,0.007991576256073165,0.07938462580760075,0.027818595920442096,0.0,0.0,0.0,0.000688305406503566,0.0,0.0,0.0013084003673175895,0.0,0.0,0.0,0.02487824271365245,0.00027173991366946437,0.0,0.0,0.0,0.0015195279309814912,0.0,0.0,0.0,0.0,0.00043415505566595647,0.0006499148227518582,0.0,0.0010665633326001204,0.0,0.0,0.0,0.0,0.0,0.0,5.58085464732621e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002883429835163603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003286503292314324,0.0,0.0,0.0005084778678674991,0.0,0.0,0.0,0.0,0.0,0.000539887070303871,0.0,0.0,3.896526804275139e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05253776738652844,0.017487482639679967
ORBm,0.0014810818116881936,1.537199725532989e-05,0.0001244676056440903,0.0006585753120247764,0.34469374812708836,2.3513360952563724,0.008869096425686656,0.000559477568918753,0.3632573903094552,0.28749967690154243,4.8653021057899426e-05,0.12633202385351266,0.04650306905031984,0.013065037906743971,0.07094704824921683,6.615444227079849e-06,0.0,6.148798902131956e-06,0.006184391867411351,0.0,0.0,7.938533072495819e-05,0.0,7.667351040083183e-05,0.0,7.492712179988097e-05,0.003122645459448288,0.0,0.0,0.012007987143671253,0.0,0.0,0.00019168377600207954,0.32107944347224876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09780775514584045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011365490863431056,0.0,0.002718984381650372,0.0,0.048775607032919964,0.004463122901255317,0.0,0.0,0.00038420301109047165,0.0011702160970736967,0.02998689591138861,0.0,0.018872128202216048,0.0,0.0,0.0,0.0,0.0,0.3290167480052946,0.04480214025023917,0.0,0.0,0.0,0.0,0.0,0.0,0.003629958671474005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0347541889154856e-05,0.0,0.0,0.0069100878804828104,0.0,0.0011189274466819013,0.007486615681201286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.667351040083183e-05,3.8336755200415916e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022750555937888238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.074399451065978e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000694796078070337,0.00027845821832935545
ORBl,0.006428401197088847,0.005397706047943307,0.3327380039333341,0.0021283799472189354,0.4836853955164204,0.01991043847307434,2.4565769857691118,0.0,0.008417390089800587,2.1671878650761917e-05,0.128088812916735,0.0004253485531474707,0.07255195600251588,0.22168852639962397,0.013307891637290558,0.0002950804028795535,0.0026724583893640713,0.009368207502785143,3.2366276928742402e-06,0.0,7.197082997062281e-06,1.4648423533019466e-06,4.550776910924714e-05,0.0,0.0005199213792653043,0.004413162036898281,0.0,0.0,0.0,0.0,0.0004965987267972974,4.318249798237368e-05,0.0,0.7252813291360606,0.0,0.0,2.9296847066038936e-07,0.00036705123285017633,0.00374625389476966,0.0,0.0,0.00038144539884430085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005757666397649824,0.0,0.00690188885667182,0.0,0.0,0.002612630389422527,0.00013359362262113753,7.197082997062281e-06,0.0,0.06405723583711694,0.03793319880060846,0.0,0.0006489991909258902,0.009493464257945955,0.0036584330076945785,0.010238640859684369,0.0,0.15570519070908587,0.0,0.0,0.0,0.0,7.19708299706228e-05,0.34416744725115284,0.09879252313741561,0.0,0.0,1.9531231377359288e-07,0.002414855865138818,0.0,0.0,0.004602746835475011,0.0,0.0,0.0,0.0,0.0,0.0,2.216794761330279e-05,0.0,0.00038981073361891354,0.0,1.9531231377359288e-07,0.0,0.0,4.109164480800736e-05,0.004048665307130528,2.9003878595378542e-05,0.003827172407955582,0.0,2.3242165339057555e-05,4.2773396716416837e-05,0.0,0.0,0.0,0.00032392356233486785,0.0,0.0,0.0,0.0,0.0,0.0,1.9531231377359288e-07,0.0002833662994049472,5.3710886287738035e-06,0.0,0.0,0.0005757666397649824,0.0,0.0,0.0,0.0,0.0,0.0011753673554773638,0.0004318249798237368,0.0,0.0018142420999112249,0.0,0.0,0.0,0.0,0.0,0.0020275341533206167,1.4394165994124562e-05,0.0,3.82927431628307e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.570303374906051e-06,0.02694879847733419,0.00726733142180989
TT,0.027314523848070815,0.001522502146589591,0.0,0.28352760172942476,0.003461610937832123,0.007648370639168395,6.827324015308944e-06,0.21998749329737505,0.0038614449025189865,0.022986883342226316,0.0,0.09275708568635052,0.0,0.00018132480676975204,0.06905013142715016,0.02233078470964912,0.0,0.0,0.00015865920592353307,0.0,0.006409997781879395,0.011682897374073863,0.0,3.785868779305573e-05,0.0,0.02180515874448272,0.00704350383368978,0.0,6.70284964204921e-06,0.0002905990266529775,0.00031731841184706613,0.0,0.0006061123579364316,0.00047588657044534137,0.0,0.0,0.0,0.0012299962010981723,0.03177766715752941,0.0,0.0,9.066240338487602e-05,0.0,0.0,4.250753611691449e-05,0.0,0.0,0.00888491553171785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9321607325870225e-05,0.0,0.0,0.0,0.0,0.0002585712797508757,0.0,0.0,0.0030361738790759796,0.0,0.0,0.0,9.066240338487602e-05,0.0008612928321563222,0.00011206532249004731,0.0003981867382394727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6711053919153425e-05,0.0,0.0,0.0,0.0,5.023617904726258e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.716820118479075e-06,0.0,0.0,3.227297975801472e-06,0.0,0.0,0.0,0.0,0.0,3.537615088859306e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4825369044626705e-07
PL,0.0007019399680208982,5.2154990687726405e-06,7.718703728022481e-05,0.00012165865648117513,0.12325244791350234,0.2971363611318584,0.0199359263770545,0.0037590217574274545,2.9683650450185683,1.1237142130605926,1.126517978616596e-05,0.03255818294886373,0.013405070989672627,0.10115014896272183,0.08714652512027374,4.423097602903424e-05,0.0,6.843266367106042e-05,0.2542639996139753,0.0,0.0,0.0014442433013383737,0.0,0.0006187173846000607,0.0,0.000602118772193783,0.1954337032906317,0.0,2.620204860073782e-05,0.03765068856742023,0.0,0.0,0.0007139240745161072,0.3440410993064571,0.0,0.0,0.0,4.914552892114916e-06,0.0,0.0,0.0,0.0,0.0,2.2242388654602392e-06,0.027546946126086085,0.0,0.0,0.0,7.371829338172374e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021639966073416896,0.0,0.05588859844402721,0.0,0.03057954419987726,0.02281405830752818,0.0,0.0,0.0020778583672610308,0.004014567888901511,0.010658277148262438,0.0,0.015283278883109465,0.0,0.0,0.0,0.0,0.0,0.2535520960917497,0.04274458452377537,0.0,0.0,0.0,0.008864469186283194,0.0,0.0,0.014939482101078504,0.0,6.880374048960882e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00649899826310651,0.0,2.5720203514906117e-05,0.0028603292677109845,0.0,0.0008575962039854314,0.0018693068983940018,0.0006563468425634332,0.010692486744306113,0.0,0.0,0.0001909372632911806,0.0,0.0,0.00022384924865803826,0.00785681736657753,0.00021480442120257813,0.0,0.0,0.0,0.0,0.0,0.0,7.71893862178351e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8438478644963652e-05,0.0,0.0,1.2615801178133024e-05,0.0,0.0,0.0,0.0,0.0,0.00013828858983722737,0.0,0.0,1.0430998137545281e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027460987847541894,0.0011112323034054442
ILA,4.639418751124708e-05,3.7718851635160223e-07,0.0,0.0035482822666860476,0.0005314097303689796,0.26188112091584037,0.0,0.019360366792066503,1.219867471116494,3.9168714140855325,5.231507640634347e-07,0.22599345529210474,0.0026287757820040625,0.006737638069098968,0.07873296618929163,0.0009704176274753662,0.0,0.0008419682222669732,0.0067555711573248365,0.0,0.00010598997309480025,0.04356743964619734,0.0,0.003681106680680958,0.0,0.0028718461931619096,0.28442614890837736,0.0,9.201184508631188e-05,0.044901874194240146,5.280639228922432e-06,0.0,0.0012824807223209386,0.17461658603800156,0.0,0.0,0.0,6.727146717679107e-05,0.0003869954177767439,0.0,0.0,1.508754065406409e-06,0.0,0.0,0.08039983534785855,0.0,0.0,0.00014785789840982808,9.355202469633036e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005387826191924794,0.0,0.07966882945953245,0.0,0.03213762724081558,2.5521923332142313e-05,0.0,0.0,1.5951202082588946e-06,0.008943613615215222,0.0057177446117647,0.0,0.000520060720929562,0.0,0.0,0.0,1.508754065406409e-06,1.4333163621360885e-05,0.12192168430005297,0.0011158140927535849,0.0,0.0,0.0,0.0,0.0,0.0,0.01693304186737192,0.0,0.0008731522304990834,0.0,0.0,0.0,0.0,0.0,0.0,0.0036500630686720375,0.0,6.236801646422024e-05,0.00657697501898009,0.0,0.003291452876148718,0.0011945881077496398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002924813908948804,0.0001462406954474402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.47490761718491e-05,0.0,0.0,4.430199948600202e-05,0.0,0.0,0.0,0.0,0.0,0.00048561807128886825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004507362926233494
